ts_id,date,total,Region,State,Purpose
1,1997-12-31,135.0776903,Adelaide,South Australia,Business
1,1998-03-31,109.987316,Adelaide,South Australia,Business
1,1998-06-30,166.0346866,Adelaide,South Australia,Business
1,1998-09-30,127.1604643,Adelaide,South Australia,Business
1,1998-12-31,137.4485333,Adelaide,South Australia,Business
1,1999-03-31,199.9125861,Adelaide,South Australia,Business
1,1999-06-30,169.3550898,Adelaide,South Australia,Business
1,1999-09-30,134.3579372,Adelaide,South Australia,Business
1,1999-12-31,154.034398,Adelaide,South Australia,Business
1,2000-03-31,168.7763637,Adelaide,South Australia,Business
1,2000-06-30,223.0651159,Adelaide,South Australia,Business
1,2000-09-30,241.2206893,Adelaide,South Australia,Business
1,2000-12-31,132.5000378,Adelaide,South Australia,Business
1,2001-03-31,178.3980945,Adelaide,South Australia,Business
1,2001-06-30,195.9963258,Adelaide,South Australia,Business
1,2001-09-30,101.1746931,Adelaide,South Australia,Business
1,2001-12-31,237.8327914,Adelaide,South Australia,Business
1,2002-03-31,150.7266327,Adelaide,South Australia,Business
1,2002-06-30,167.7128424,Adelaide,South Australia,Business
1,2002-09-30,140.3395127,Adelaide,South Australia,Business
1,2002-12-31,139.4467919,Adelaide,South Australia,Business
1,2003-03-31,159.6580081,Adelaide,South Australia,Business
1,2003-06-30,232.1073047,Adelaide,South Australia,Business
1,2003-09-30,158.5960175,Adelaide,South Australia,Business
1,2003-12-31,138.4674189,Adelaide,South Australia,Business
1,2004-03-31,229.7141455,Adelaide,South Australia,Business
1,2004-06-30,242.4943675,Adelaide,South Australia,Business
1,2004-09-30,123.0611006,Adelaide,South Australia,Business
1,2004-12-31,127.9992552,Adelaide,South Australia,Business
1,2005-03-31,73.2530124,Adelaide,South Australia,Business
1,2005-06-30,166.7247035,Adelaide,South Australia,Business
1,2005-09-30,122.2969489,Adelaide,South Australia,Business
1,2005-12-31,127.247714,Adelaide,South Australia,Business
1,2006-03-31,176.075701,Adelaide,South Australia,Business
1,2006-06-30,157.857561,Adelaide,South Australia,Business
1,2006-09-30,106.677495,Adelaide,South Australia,Business
1,2006-12-31,134.3680297,Adelaide,South Australia,Business
1,2007-03-31,168.5935923,Adelaide,South Australia,Business
1,2007-06-30,146.1038104,Adelaide,South Australia,Business
1,2007-09-30,134.5737045,Adelaide,South Australia,Business
1,2007-12-31,127.1683903,Adelaide,South Australia,Business
1,2008-03-31,151.9719803,Adelaide,South Australia,Business
1,2008-06-30,152.2058109,Adelaide,South Australia,Business
1,2008-09-30,160.6362718,Adelaide,South Australia,Business
1,2008-12-31,113.8600217,Adelaide,South Australia,Business
1,2009-03-31,152.7243494,Adelaide,South Australia,Business
1,2009-06-30,121.9832332,Adelaide,South Australia,Business
1,2009-09-30,191.1538074,Adelaide,South Australia,Business
1,2009-12-31,68.7253928,Adelaide,South Australia,Business
1,2010-03-31,182.18332,Adelaide,South Australia,Business
1,2010-06-30,120.5336824,Adelaide,South Australia,Business
1,2010-09-30,155.0707525,Adelaide,South Australia,Business
1,2010-12-31,109.699807,Adelaide,South Australia,Business
1,2011-03-31,148.4397274,Adelaide,South Australia,Business
1,2011-06-30,140.6574624,Adelaide,South Australia,Business
1,2011-09-30,148.815411,Adelaide,South Australia,Business
1,2011-12-31,126.8571108,Adelaide,South Australia,Business
1,2012-03-31,154.920891,Adelaide,South Australia,Business
1,2012-06-30,150.0191305,Adelaide,South Australia,Business
1,2012-09-30,178.3637579,Adelaide,South Australia,Business
1,2012-12-31,101.6471351,Adelaide,South Australia,Business
1,2013-03-31,100.6409434,Adelaide,South Australia,Business
1,2013-06-30,179.8741671,Adelaide,South Australia,Business
1,2013-09-30,142.8077977,Adelaide,South Australia,Business
1,2013-12-31,127.3236791,Adelaide,South Australia,Business
1,2014-03-31,139.0854509,Adelaide,South Australia,Business
1,2014-06-30,173.3228706,Adelaide,South Australia,Business
1,2014-09-30,124.5883668,Adelaide,South Australia,Business
1,2014-12-31,143.5832868,Adelaide,South Australia,Business
1,2015-03-31,161.3704888,Adelaide,South Australia,Business
1,2015-06-30,180.4919573,Adelaide,South Australia,Business
1,2015-09-30,179.7114269,Adelaide,South Australia,Business
1,2015-12-31,193.3044037,Adelaide,South Australia,Business
1,2016-03-31,190.0252157,Adelaide,South Australia,Business
1,2016-06-30,195.9832501,Adelaide,South Australia,Business
1,2016-09-30,152.4288872,Adelaide,South Australia,Business
2,1997-12-31,223.5574059,Adelaide,South Australia,Holiday
2,1998-03-31,130.287369,Adelaide,South Australia,Holiday
2,1998-06-30,156.089398,Adelaide,South Australia,Holiday
2,1998-09-30,182.3289795,Adelaide,South Australia,Holiday
2,1998-12-31,185.33188,Adelaide,South Australia,Holiday
2,1999-03-31,134.6696903,Adelaide,South Australia,Holiday
2,1999-06-30,136.0347311,Adelaide,South Australia,Holiday
2,1999-09-30,168.6863799,Adelaide,South Australia,Holiday
2,1999-12-31,184.1202637,Adelaide,South Australia,Holiday
2,2000-03-31,134.3627013,Adelaide,South Australia,Holiday
2,2000-06-30,145.3610392,Adelaide,South Australia,Holiday
2,2000-09-30,150.513124,Adelaide,South Australia,Holiday
2,2000-12-31,160.2282407,Adelaide,South Australia,Holiday
2,2001-03-31,133.1343279,Adelaide,South Australia,Holiday
2,2001-06-30,153.773094,Adelaide,South Australia,Holiday
2,2001-09-30,181.4068405,Adelaide,South Australia,Holiday
2,2001-12-31,169.0469312,Adelaide,South Australia,Holiday
2,2002-03-31,114.2086238,Adelaide,South Australia,Holiday
2,2002-06-30,130.3304208,Adelaide,South Australia,Holiday
2,2002-09-30,130.4795052,Adelaide,South Australia,Holiday
2,2002-12-31,146.7703147,Adelaide,South Australia,Holiday
2,2003-03-31,126.7641332,Adelaide,South Australia,Holiday
2,2003-06-30,149.4360349,Adelaide,South Australia,Holiday
2,2003-09-30,111.0500583,Adelaide,South Australia,Holiday
2,2003-12-31,186.7720696,Adelaide,South Australia,Holiday
